style,method_id,method_name,source_path,fps,frames,duration_s,stability_rate,fall_time_s,mean_joint_error_rad,pelvis_z_min_m,motion_amplitude_rad
jazz,direct,Direct retarget,aist_data/motions/gJB_sFM_cAll_d08_mJB5_ch14.pkl,60.0,1771,29.516666666666666,0.0784,0.784,0.0715711143631877,0.07638979467746759,0.22191367104708398
jazz,offline,Offline-filtered,optimized_motions/jazz_optimized.npz,60.0,1771,29.516666666666666,0.0918,0.918,0.07069750797951312,0.07360802750915743,0.13452332338465436
jazz,balance,Balance-safe,optimized_motions/jazz_balance_safe.npz,60.0,1771,29.516666666666666,1.0,,0.004892547903360784,0.7895832633248681,0.02277751066836276
jazz,feasible,Feasibility-optimized,optimized_motions/jazz_feasible.npz,60.0,1771,29.516666666666666,1.0,,0.005379553890836753,0.6251793217220517,0.03431050137844681
jazz,support_com,Support/COM-aware,optimized_motions/jazz_support_com.npz,60.0,1771,29.516666666666666,1.0,,0.005234253356672694,0.7879700590167408,0.03263008788805385
break,direct,Direct retarget,aist_data/motions/gBR_sFM_cAll_d04_mBR0_ch01.pkl,60.0,2878,47.96666666666667,0.1024,1.024,0.02974085288453735,0.054078436926627414,0.17616926575345648
break,offline,Offline-filtered,optimized_motions/break_optimized.npz,60.0,2878,47.96666666666667,0.1056,1.056,0.019149501888322956,0.05566648811345755,0.10810188352009761
break,balance,Balance-safe,optimized_motions/break_balance_safe.npz,60.0,2878,47.96666666666667,1.0,,0.004007129028988779,0.7877211525786016,0.015552533866864683
break,feasible,Feasibility-optimized,optimized_motions/break_feasible.npz,60.0,2878,47.96666666666667,1.0,,0.007910540366209471,0.7875142005408677,0.04712483960651694
break,support_com,Support/COM-aware,optimized_motions/break_support_com.npz,60.0,2878,47.96666666666667,1.0,,0.009387477167627395,0.7877940677597068,0.06226654361638086
